Tiempo(s),X_real,Y_real,Z_real,X_target,Y_target,Z_target
81.0881,85.74390625077635,1.5032348387809058,179.86014048142533,85.0,2.0,184.0
81.0881,85.74390625077635,1.5032348387809058,179.86014048142533,85.0,2.0,184.0
81.2533,85.13763112145264,1.4985788884949327,177.06426395797948,85.0,2.0,184.0
81.2533,85.13763112145264,1.4985788884949327,177.06426395797948,85.0,2.0,184.0
81.4153,85.18267962023504,1.4989248429315307,177.62573772485933,85.0,2.0,184.0
81.4153,85.18267962023504,1.4989248429315307,177.62573772485933,85.0,2.0,184.0
81.5835,85.55643513539889,1.5017951356642252,179.0974469820769,85.0,2.0,184.0
81.5835,85.55643513539889,1.5017951356642252,179.0974469820769,85.0,2.0,184.0
81.7473,85.78751706932755,1.5035697524088678,180.44120761659684,85.0,2.0,184.0
81.7473,85.78751706932755,1.5035697524088678,180.44120761659684,85.0,2.0,184.0
81.9136,85.3714195743631,1.500374290221868,178.36111940184813,85.0,2.0,184.0
81.9136,85.3714195743631,1.500374290221868,178.36111940184813,85.0,2.0,184.0
82.077,85.18267962023504,1.4989248429315307,177.62573772485933,85.0,2.0,184.0
82.077,85.18267962023504,1.4989248429315307,177.62573772485933,85.0,2.0,184.0
82.2395,84.9835172909689,1.4973953559724729,176.86601350314112,85.0,2.0,184.0
82.2395,84.9835172909689,1.4973953559724729,176.86601350314112,85.0,2.0,184.0
82.4021,85.55643513539889,1.5017951356642252,179.0974469820769,85.0,2.0,184.0
82.4021,85.55643513539889,1.5017951356642252,179.0974469820769,85.0,2.0,184.0
82.5635,85.18267962023504,1.4989248429315307,177.62573772485933,85.0,2.0,184.0
82.5635,85.18267962023504,1.4989248429315307,177.62573772485933,85.0,2.0,184.0
82.7265,85.18267962023504,1.4989248429315307,177.62573772485933,85.0,2.0,184.0
82.7265,85.18267962023504,1.4989248429315307,177.62573772485933,85.0,2.0,184.0
82.8948,85.18267962023504,1.4989248429315307,177.62573772485933,85.0,2.0,184.0
82.8948,85.18267962023504,1.4989248429315307,177.62573772485933,85.0,2.0,184.0
83.059,85.3714195743631,1.500374290221868,178.36111940184813,85.0,2.0,184.0
83.059,85.3714195743631,1.500374290221868,178.36111940184813,85.0,2.0,184.0
83.2201,85.18267962023504,1.4989248429315307,177.62573772485933,85.0,2.0,184.0
83.2201,85.18267962023504,1.4989248429315307,177.62573772485933,85.0,2.0,184.0
83.3829,85.45429503209004,1.5010107405600739,179.504094425385,85.0,2.0,184.0
83.3829,85.45429503209004,1.5010107405600739,179.504094425385,85.0,2.0,184.0
83.5473,85.55643513539889,1.5017951356642252,179.0974469820769,85.0,2.0,184.0
83.5473,85.55643513539889,1.5017951356642252,179.0974469820769,85.0,2.0,184.0
83.7121,85.3714195743631,1.500374290221868,178.36111940184813,85.0,2.0,184.0
83.7121,85.3714195743631,1.500374290221868,178.36111940184813,85.0,2.0,184.0
83.878,84.94517160942345,1.4971008764889477,176.32984702343714,85.0,2.0,184.0
83.878,84.94517160942345,1.4971008764889477,176.32984702343714,85.0,2.0,184.0
84.0406,84.9835172909689,1.4973953559724729,176.86601350314112,85.0,2.0,184.0
84.0406,84.9835172909689,1.4973953559724729,176.86601350314112,85.0,2.0,184.0
84.2024,85.3714195743631,1.500374290221868,178.36111940184813,85.0,2.0,184.0
84.2024,85.3714195743631,1.500374290221868,178.36111940184813,85.0,2.0,184.0
84.3645,85.3714195743631,1.500374290221868,178.36111940184813,85.0,2.0,184.0
84.3645,85.3714195743631,1.500374290221868,178.36111940184813,85.0,2.0,184.0
84.5273,85.18267962023504,1.4989248429315307,177.62573772485933,85.0,2.0,184.0
